,id,review,label,pred_multiple,terms
0,0,"i am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE,VALUE|FOOD|VALUE|VALUE,place|fun|time|prices
1,2,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
2,3,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
3,4,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
4,5,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
5,6,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
6,7,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
7,8,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
8,9,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
9,10,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
10,11,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
11,12,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
12,13,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
13,14,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
14,15,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
15,16,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
16,17,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|VALUE|FOOD,prices|view|food
17,18,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
18,19,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
19,20,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
20,21,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
21,22,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
22,23,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
23,24,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
24,25,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
25,26,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
26,27,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
27,28,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
28,29,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
29,30,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
30,31,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
31,32,bad food and high prices,FOOD|VALUE,FOOD|VALUE,food|prices
32,33,prices are fair across the board for both food and bev.,VALUE|VALUE,VALUE|VALUE|FOOD|VALUE,prices|board|food|bev
33,34,"price is high but the food is good, so i would come back again.",FOOD|VALUE,VALUE|FOOD,price|food
34,35,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE,place|value
35,36,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,FOOD|VALUE,food|price
